station_id,station_name,datetime,current_available_bikes,district,hour,rental_lag_1h,rental_lag_2h,rental_lag_24h,rental_lag_168h,rental_rolling_mean_3h,rental_rolling_mean_24h,rental_rolling_std_24h,rental_rolling_mean_7d_same_hour,available_bikes_lag_1h,available_bikes_change_1h
4408,돌곶이역 앞,2025-09-30 17:00:00,,미상,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4768,서울도시건축전시관,2025-09-30 17:00:00,,미상,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
660,동의보감타워,2025-09-30 17:00:00,,미상,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3520,광진경찰서,2025-09-30 17:00:00,,미상,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
660,동의보감타워,2025-09-30 18:00:00,,미상,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4768,서울도시건축전시관,2025-09-30 18:00:00,,미상,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2612,광평교사거리 인근,2025-09-30 18:00:00,,미상,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4408,돌곶이역 앞,2025-09-30 18:00:00,,미상,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3520,광진경찰서,2025-09-30 18:00:00,,미상,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4408,돌곶이역 앞,2025-09-30 19:00:00,,미상,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2612,광평교사거리 인근,2025-09-30 19:00:00,,미상,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3520,광진경찰서,2025-09-30 19:00:00,,미상,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
660,동의보감타워,2025-09-30 19:00:00,,미상,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4768,서울도시건축전시관,2025-09-30 19:00:00,,미상,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
660,동의보감타워,2025-09-30 20:00:00,,미상,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4768,서울도시건축전시관,2025-09-30 20:00:00,,미상,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2612,광평교사거리 인근,2025-09-30 20:00:00,,미상,20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1428571428571428,,
3520,광진경찰서,2025-09-30 20:00:00,,미상,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4408,돌곶이역 앞,2025-09-30 20:00:00,,미상,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2612,광평교사거리 인근,2025-09-30 21:00:00,,미상,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3520,광진경찰서,2025-09-30 21:00:00,,미상,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
660,동의보감타워,2025-09-30 21:00:00,,미상,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4768,서울도시건축전시관,2025-09-30 21:00:00,,미상,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4408,돌곶이역 앞,2025-09-30 21:00:00,,미상,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4408,돌곶이역 앞,2025-09-30 22:00:00,,미상,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2612,광평교사거리 인근,2025-09-30 22:00:00,,미상,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,,
3520,광진경찰서,2025-09-30 22:00:00,,미상,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
660,동의보감타워,2025-09-30 22:00:00,,미상,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4768,서울도시건축전시관,2025-09-30 22:00:00,,미상,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4408,돌곶이역 앞,2025-09-30 23:00:00,,미상,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2612,광평교사거리 인근,2025-09-30 23:00:00,,미상,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4768,서울도시건축전시관,2025-09-30 23:00:00,,미상,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
660,동의보감타워,2025-09-30 23:00:00,,미상,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3520,광진경찰서,2025-09-30 23:00:00,,미상,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4065,창동역 1번출구 앞,2025-10-31 00:00:00,,미상,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1620,중계구민체육센터,2025-10-31 00:00:00,0.0,미상,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2429,압구정로데오역 6번출구,2025-10-31 00:00:00,,미상,0,0.0,0.0,0.0,0.0,0.0,0.2083333333333333,0.5882299658752687,0.2857142857142857,,
1961,신도림테크노근린공원,2025-10-31 00:00:00,0.0,미상,0,0.0,0.0,0.0,0.0,0.6666666666666666,2.75,3.2066506974804976,2.7142857142857144,0.0,0.0
4065,창동역 1번출구 앞,2025-10-31 01:00:00,,미상,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2429,압구정로데오역 6번출구,2025-10-31 01:00:00,,미상,1,0.0,0.0,0.0,1.0,0.0,0.2083333333333333,0.5882299658752687,0.8571428571428571,,
1961,신도림테크노근린공원,2025-10-31 01:00:00,0.0,미상,1,0.0,0.0,0.0,0.0,0.0,2.75,3.2066506974804976,0.0,0.0,0.0
1620,중계구민체육센터,2025-10-31 01:00:00,0.0,미상,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2429,압구정로데오역 6번출구,2025-10-31 02:00:00,,미상,2,0.0,0.0,0.0,0.0,0.0,0.2083333333333333,0.5882299658752687,0.5714285714285714,,
4065,창동역 1번출구 앞,2025-10-31 02:00:00,,미상,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1961,신도림테크노근린공원,2025-10-31 02:00:00,0.0,미상,2,0.0,0.0,0.0,0.0,0.0,2.75,3.2066506974804976,0.2857142857142857,0.0,0.0
1620,중계구민체육센터,2025-10-31 02:00:00,0.0,미상,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4065,창동역 1번출구 앞,2025-10-31 03:00:00,,미상,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1961,신도림테크노근린공원,2025-10-31 03:00:00,0.0,미상,3,0.0,0.0,0.0,0.0,0.0,2.75,3.2066506974804976,0.0,0.0,0.0
1620,중계구민체육센터,2025-10-31 03:00:00,0.0,미상,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2429,압구정로데오역 6번출구,2025-10-31 03:00:00,,미상,3,0.0,0.0,0.0,0.0,0.0,0.2083333333333333,0.5882299658752687,0.4285714285714285,,
2429,압구정로데오역 6번출구,2025-10-31 04:00:00,,미상,4,0.0,0.0,0.0,0.0,0.0,0.2083333333333333,0.5882299658752687,0.1428571428571428,,
1961,신도림테크노근린공원,2025-10-31 04:00:00,0.0,미상,4,0.0,0.0,0.0,0.0,0.0,2.75,3.2066506974804976,0.0,0.0,0.0
4065,창동역 1번출구 앞,2025-10-31 04:00:00,,미상,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1620,중계구민체육센터,2025-10-31 04:00:00,0.0,미상,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2429,압구정로데오역 6번출구,2025-10-31 05:00:00,,미상,5,0.0,0.0,0.0,0.0,0.0,0.2083333333333333,0.5882299658752687,0.2857142857142857,,
4065,창동역 1번출구 앞,2025-10-31 05:00:00,,미상,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1961,신도림테크노근린공원,2025-10-31 05:00:00,1.0,미상,5,0.0,0.0,0.0,1.0,0.0,2.75,3.2066506974804976,0.2857142857142857,0.0,1.0
